Kód obce,Kód okresu,Latitude,Longitude
566080,CZ0321,49.585171,13.021847
589365,CZ0713,49.432550,17.175182
590444,CZ0634,49.202965,15.793702
529486,CZ0201,49.624128,15.048346
590452,CZ0634,49.293149,15.819975
552771,CZ0714,49.429155,17.534434
589381,CZ0713,49.551061,17.037775
586099,CZ0645,48.946631,16.965214
550922,CZ0316,49.252920,14.020488
544329,CZ0311,49.014436,14.383008
586102,CZ0645,48.906019,16.942409
593877,CZ0647,48.877801,16.287428
529524,CZ0205,49.791923,15.349767
547735,CZ0633,49.565751,15.379353
598071,CZ0802,49.548829,18.337697
538132,CZ0209,50.162803,14.751089
589390,CZ0713,49.412429,17.193740
513059,CZ0714,49.510136,17.372246
589403,CZ0713,49.516364,17.093902
529826,CZ0633,49.360262,15.206421
586111,CZ0645,49.051964,17.154760
558711,CZ0325,49.800070,13.253217
540072,CZ020B,49.777803,14.000860
598976,CZ0311,49.233538,14.500943
579998,CZ0534,50.011481,16.682509
574856,CZ0532,50.133120,15.773339
574864,CZ0532,49.985238,15.717675
550949,CZ0316,49.155339,13.975181
530581,CZ0424,50.308851,13.494015
529516,CZ0201,49.853032,14.703093
593885,CZ0647,49.032153,16.195072
579106,CZ0525,50.550083,15.769729
553514,CZ0321,49.531701,13.116707
576191,CZ0524,50.080411,16.144089
569950,CZ0805,49.782431,17.702213
595438,CZ0635,49.426181,15.863930
581496,CZ0641,49.413707,16.581502
572896,CZ0532,50.056130,15.671936
545457,CZ0312,48.738072,14.110637
533491,CZ0711,50.308312,17.147100
538019,CZ0412,50.291365,12.711084
573957,CZ0523,50.335841,16.102688
542628,CZ0424,50.361485,13.845324
533254,CZ0209,49.941659,14.806890
546852,CZ0423,50.454495,14.243217
587001,CZ0632,49.127972,15.459430
553531,CZ0322,49.422778,13.130130
576204,CZ0524,50.186688,16.207062
566632,CZ0325,49.975551,13.567010
599301,CZ0208,50.102118,14.820104
569917,CZ0521,50.262743,15.922644
593893,CZ0647,48.983053,16.021013
534013,CZ0205,49.840116,15.218931
564699,CZ0423,50.445046,14.059049
539121,CZ020A,49.909790,14.299358
539139,CZ020A,49.960184,14.319902
560812,CZ0327,49.816245,12.883925
513067,CZ0714,49.531975,17.772231
542423,CZ0423,50.360924,14.307446
545996,CZ0513,51.004564,15.050573
561142,CZ0633,49.344066,15.314148
581500,CZ0641,49.483630,16.423018
547760,CZ0633,49.372757,14.960993
566098,CZ0321,49.615661,12.997040
563021,CZ0422,50.447783,13.359354
530328,CZ0325,49.813006,13.103784
569925,CZ0521,50.318732,15.874133
532207,CZ0203,50.301245,14.202603
595446,CZ0643,49.445413,16.346286
579114,CZ0525,50.635059,15.710701
563722,CZ0317,49.325232,14.520546
505099,CZ0523,50.450166,16.058927
590461,CZ0634,49.284564,15.806208
547778,CZ0633,49.511334,15.178468
548995,CZ0522,50.399430,15.643602
580015,CZ0534,50.040389,16.742787
534021,CZ0205,49.834712,15.253438
533262,CZ0204,49.978318,15.208666
542172,CZ0322,49.501992,13.294553
552186,CZ0712,49.718889,17.083808
509116,CZ0313,49.122981,15.539027
573965,CZ0523,50.476361,16.093000
529532,CZ0201,49.555506,14.604165
532215,CZ020A,50.069809,14.166017
582921,CZ0643,49.280178,16.565510
568503,CZ0631,49.643015,15.691066
558745,CZ0325,49.828513,13.429819
573973,CZ0523,50.400822,16.229527
562394,CZ0421,50.797908,14.417784
553549,CZ0321,49.369488,12.858904
561380,CZ0511,50.678620,14.539799
573981,CZ0523,50.545672,16.180328
580023,CZ0534,50.071923,16.392345
573990,CZ0523,50.394767,16.042868
580031,CZ0534,49.901982,16.447385
569356,CZ0711,50.257454,17.228153
544256,CZ0311,48.975758,14.480355
580040,CZ0534,49.931529,16.253203
571296,CZ0531,49.847036,15.777938
580058,CZ0534,50.029927,16.371803
576212,CZ0524,50.286898,16.044385
580066,CZ0534,50.119374,16.605474
546089,CZ0313,48.768608,14.963775
533271,CZ0204,50.074304,14.860919
563960,CZ0513,50.661116,14.996287
567108,CZ0425,50.707590,13.547489
545392,CZ0312,48.812835,14.317566
546097,CZ0313,49.068454,15.324472
529541,CZ0201,49.810991,14.928256
598933,CZ0803,49.747144,18.623896
550957,CZ0316,49.167929,13.803800
576221,CZ0524,50.127918,16.145832
534030,CZ0205,49.807713,15.104503
538141,CZ0209,50.002617,14.583719
572811,CZ0522,50.339204,15.360429
550965,CZ0316,49.153152,14.230951
539147,CZ020A,50.156814,14.249483
590479,CZ0634,49.268545,15.812163
542024,CZ0322,49.342510,13.425893
568520,CZ0631,49.741853,15.335180
506621,CZ0412,50.124360,13.171190
590487,CZ0634,49.284719,15.762199
590495,CZ0634,49.269605,16.141012
540927,CZ0326,49.961766,13.742166
599671,CZ0208,50.219494,14.981754
540081,CZ020B,49.778620,14.377907
549339,CZ0314,49.465681,14.069328
546101,CZ0313,49.060706,15.073772
590509,CZ0634,49.200243,15.998557
578495,CZ0322,49.253746,13.605991
537080,CZ0208,50.230096,15.213992
539155,CZ020A,49.863480,14.314883
577944,CZ0533,49.827322,16.328783
535630,CZ0207,50.472083,14.843595
